DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRSDepTime,DepartureDelay,DepDelay15,TaxiInTime,ArrivalDelay,CRSDuration,ActualDuration,ActualAirTime,DISTANCE,DepDelayOver15,ArrDelayOver15,DiffActualCRSDiration
2,7,3/2/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",2057,58,1,7,39,131,112,93,679,Departure Delay more than 15 min,Arrival Delay more than 15 min,-19
2,7,3/2/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",1610,10,0,10,11,127,128,96,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,1
2,7,3/2/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",803,-1,0,6,-15,131,117,92,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-14
2,7,3/2/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",1105,-5,0,9,-2,130,133,93,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,3
2,7,3/2/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",2256,3,0,4,-6,123,114,91,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-9
2,7,3/2/14,VX,SFO,"San Francisco, CA",SEA,"Seattle, WA",1205,2,0,8,4,120,122,91,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,2
2,7,3/2/14,VX,SFO,"San Francisco, CA",SEA,"Seattle, WA",1605,10,0,7,4,125,119,97,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-6
2,7,3/2/14,VX,SFO,"San Francisco, CA",SEA,"Seattle, WA",2005,22,1,3,13,120,111,95,679,Departure Delay more than 15 min,Arrival Delay 15 min or less,-9
2,7,3/2/14,WN,OAK,"Oakland, CA",SEA,"Seattle, WA",1410,74,1,7,60,120,106,93,671,Departure Delay more than 15 min,Arrival Delay more than 15 min,-14
2,7,3/2/14,WN,OAK,"Oakland, CA",SEA,"Seattle, WA",1840,27,1,8,3,130,106,92,671,Departure Delay more than 15 min,Arrival Delay 15 min or less,-24
2,7,3/2/14,WN,OAK,"Oakland, CA",SEA,"Seattle, WA",1740,18,1,5,9,115,106,94,671,Departure Delay more than 15 min,Arrival Delay 15 min or less,-9
2,7,3/2/14,WN,OAK,"Oakland, CA",SEA,"Seattle, WA",1210,13,0,6,2,120,109,92,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,-11
2,7,3/2/14,WN,SJC,"San Jose, CA",SEA,"Seattle, WA",2135,21,1,4,-2,135,112,101,697,Departure Delay more than 15 min,Arrival Delay 15 min or less,-23
2,7,3/2/14,WN,SJC,"San Jose, CA",SEA,"Seattle, WA",825,-4,0,9,-21,130,113,97,697,Departure Delay 15 min or less,Arrival Delay 15 min or less,-17
3,1,3/3/14,AS,SJC,"San Jose, CA",SEA,"Seattle, WA",1720,0,0,6,-3,120,117,104,697,Departure Delay 15 min or less,Arrival Delay 15 min or less,-3
3,1,3/3/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",2100,-7,0,5,-10,116,113,93,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-3
3,1,3/3/14,AS,SJC,"San Jose, CA",SEA,"Seattle, WA",1010,-5,0,7,4,120,129,108,697,Departure Delay 15 min or less,Arrival Delay 15 min or less,9
3,1,3/3/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",1255,-2,0,4,-17,125,110,95,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-15
3,1,3/3/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",1015,-7,0,6,-14,122,115,99,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-7
3,1,3/3/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",1950,-5,0,7,15,117,137,101,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,20
3,1,3/3/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",1730,-6,0,8,2,118,126,100,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,8
