"tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender"
1455,"2020-12-14 18:41:32.2060","2020-12-14 19:05:48.1160",3301,"Columbus Ave & W 95 St",40.7919557,-73.968087,3951,"E 141 St & St Ann's Ave",40.808633,-73.916124,38286,"Customer",1969,0
413,"2020-12-28 10:43:20.9260","2020-12-28 10:50:13.9790",3812,"University Pl & E 14 St",40.734814,-73.992085,265,"Stanton St & Chrystie St",40.72229346,-73.99147535,27927,"Subscriber",1967,1
367,"2020-12-15 16:44:04.8170","2020-12-15 16:50:12.6710",3809,"W 55 St & 6 Ave",40.763189,-73.978434,4073,"W 51 St & Rockefeller Plaza",40.7596999590625,-73.9780819416046,43403,"Subscriber",1991,1
485,"2020-12-28 08:42:05.2810","2020-12-28 08:50:10.6890",3504,"E 123 St & Lexington Ave",40.8029263,-73.9379,3336,"E 97 St & Madison Ave",40.787801,-73.953559,36456,"Subscriber",1976,1
534,"2020-12-04 07:19:04.0670","2020-12-04 07:27:58.5960",410,"Suffolk St & Stanton St",40.72066442,-73.98517977,3707,"Lexington Ave & E 26 St",40.741459,-73.983293,25265,"Customer",1969,0
390,"2020-12-29 11:27:51.7840","2020-12-29 11:34:22.5300",3486,"Schermerhorn St & Bond St",40.6884174275408,-73.9845165610313,3384,"Smith St & 3 St",40.6787242,-73.99599099,49895,"Subscriber",1976,2
584,"2020-12-13 09:53:18.0640","2020-12-13 10:03:02.4240",495,"W 47 St & 10 Ave",40.76269882,-73.99301222,3457,"E 58 St & Madison Ave",40.7630259428052,-73.9720952510834,28744,"Customer",1969,0
549,"2020-12-30 16:25:29.9680","2020-12-30 16:34:39.3570",3172,"W 74 St & Columbus Ave",40.7785669,-73.97754961,3301,"Columbus Ave & W 95 St",40.7919557,-73.968087,44355,"Customer",1969,0
422,"2020-12-08 11:29:55.2450","2020-12-08 11:36:57.4010",2012,"E 27 St & 1 Ave",40.739445,-73.976806,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,47754,"Customer",1993,1
256,"2020-12-22 10:19:43.7090","2020-12-22 10:24:00.1490",252,"MacDougal St & Washington Sq",40.73226398,-73.99852205,439,"E 4 St & 2 Ave",40.7262807,-73.98978041,39960,"Customer",1969,0
779,"2020-12-03 12:19:33.6880","2020-12-03 12:32:33.1390",3916,"Pearl St & Peck Slip",40.708485,-74.002751,3916,"Pearl St & Peck Slip",40.708485,-74.002751,32051,"Subscriber",1986,2
735,"2020-12-28 19:05:45.8720","2020-12-28 19:18:00.9520",3164,"Columbus Ave & W 72 St",40.7770575,-73.97898475,495,"W 47 St & 10 Ave",40.76269882,-73.99301222,41898,"Subscriber",1960,1
661,"2020-12-11 13:02:15.6580","2020-12-11 13:13:17.2650",3429,"Hanson Pl & Ashland Pl",40.6850680730818,-73.9779075980186,143,"Clinton St & Joralemon St",40.69239502,-73.99337909,34928,"Subscriber",1963,1
461,"2020-12-01 07:09:35.1570","2020-12-01 07:17:17.0850",3708,"W 13 St & 5 Ave",40.735445,-73.99431,3711,"E 13 St & Avenue A",40.7296672939298,-73.9806796610355,39575,"Subscriber",1984,0
953,"2020-12-27 10:33:07.0770","2020-12-27 10:49:00.8020",3302,"Columbus Ave & W 103 St",40.7969347,-73.9643412291,3286,"E 89 St & 3 Ave",40.7806284,-73.9521667,44336,"Subscriber",1975,1
1032,"2020-12-12 19:46:49.2860","2020-12-12 20:04:01.7490",3899,"Manhattan Av & Leonard St",40.72084,-73.94844,3770,"Central Ave & Flushing Ave",40.702831,-73.9333,45888,"Customer",1969,0
712,"2020-12-06 15:39:55.1820","2020-12-06 15:51:47.2180",405,"Washington St & Gansevoort St",40.739323,-74.008119,3906,"West St & Liberty St",40.711444,-74.014847,45629,"Subscriber",1992,2
1403,"2020-12-07 20:17:31.0940","2020-12-07 20:40:54.6760",2012,"E 27 St & 1 Ave",40.739445,-73.976806,3746,"6 Ave & Broome St",40.7243083216022,-74.0047303587198,29927,"Subscriber",1989,1
1115,"2020-12-22 13:23:48.8660","2020-12-22 13:42:24.7720",2022,"E 60 St & York Ave",40.759107,-73.959223,3668,"Leonard St & Nassau Ave",40.7239567849954,-73.9498436450958,49869,"Subscriber",1955,2
1298,"2020-12-30 08:30:43.4290","2020-12-30 08:52:21.4800",3289,"W 90 St & Amsterdam Ave",40.7901794809508,-73.9728891849518,484,"W 44 St & 5 Ave",40.75500254,-73.98014437,30610,"Subscriber",1984,2
873,"2020-12-23 14:08:36.7780","2020-12-23 14:23:10.4460",267,"Broadway & W 36 St",40.75097711,-73.98765428,474,"5 Ave & E 29 St",40.7451677,-73.98683077,49829,"Subscriber",1995,1
393,"2020-12-07 10:46:44.0270","2020-12-07 10:53:17.2530",383,"Greenwich Ave & Charles St",40.735238,-74.000271,405,"Washington St & Gansevoort St",40.739323,-74.008119,25651,"Subscriber",1966,1
495,"2020-12-06 12:04:22.6010","2020-12-06 12:12:38.4240",438,"St Marks Pl & 1 Ave",40.72779126,-73.98564945,3687,"E 33 St & 1 Ave",40.7432268143217,-73.9744978398085,49802,"Subscriber",1971,1
1394,"2020-12-03 18:42:54.0370","2020-12-03 19:06:08.5810",3147,"E 85 St & 3 Ave",40.77801203,-73.95407149,3350,"W 100 St & Broadway",40.7973721,-73.97041192,30720,"Customer",1969,0
894,"2020-12-03 19:13:12.0600","2020-12-03 19:28:06.9800",267,"Broadway & W 36 St",40.75097711,-73.98765428,3158,"W 63 St & Broadway",40.77163851,-73.98261428,30125,"Subscriber",1964,1
265,"2020-12-11 20:56:25.0540","2020-12-11 21:00:50.0980",250,"Lafayette St & Jersey St",40.72456089,-73.99565293,237,"E 11 St & 2 Ave",40.73047309,-73.98672378,35578,"Subscriber",1981,1
512,"2020-12-10 12:11:07.2380","2020-12-10 12:19:39.5970",508,"W 46 St & 11 Ave",40.76341379,-73.99667444,490,"8 Ave & W 33 St",40.751551,-73.993934,28932,"Subscriber",1982,1
249,"2020-12-08 17:20:51.6480","2020-12-08 17:25:01.5680",508,"W 46 St & 11 Ave",40.76341379,-73.99667444,508,"W 46 St & 11 Ave",40.76341379,-73.99667444,44706,"Subscriber",1990,1
3193,"2020-12-23 15:13:36.9510","2020-12-23 16:06:50.2670",3141,"1 Ave & E 68 St",40.76500525,-73.95818491,3725,"2 Ave & E 72 St",40.7687620293096,-73.9584079384804,41956,"Subscriber",1966,1
