DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,CARRIER,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRSDepTime,DepartureDelay,DepDelay15,TaxiInTime,ArrivalDelay,CRSDuration,ActualDuration,ActualAirTime),DISTANCE,DepDelayOver15,ArrDelayOver15
5,6,4/5/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,700,-7,0,6,6,118,131,110,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
18,6,1/18/14,AS,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,630,-2,0,13,2,120,124,102,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
17,1,3/17/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,2100,-3,0,8,4,113,120,99,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
27,7,4/27/14,UA,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1105,-1,0,7,11,131,143,99,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
25,2,3/25/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1925,18,1,6,19,116,117,96,679,Departure Delay more than 15 min,Arrival Delay more than 15 min
27,4,3/27/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1255,-5,0,5,-1,115,119,100,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
1,2,4/1/14,VX,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1155,-5,0,10,4,120,129,90,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
23,4,1/23/14,AS,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,955,-10,0,4,-2,115,123,105,672,Departure Delay 15 min or less,Arrival Delay 15 min or less
12,3,2/12/14,OO,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,905,6,0,8,0,130,124,96,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
29,3,1/29/14,UA,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,2234,4,0,6,1,123,120,90,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
8,6,2/8/14,AS,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,630,-2,0,4,-10,120,112,99,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
29,2,4/29/14,VX,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,745,-5,0,5,-8,120,117,99,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
25,2,3/25/14,VX,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1155,-2,0,7,-14,120,108,91,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
3,4,4/3/14,UA,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1937,-4,0,4,-27,137,114,93,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
28,5,2/28/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,700,-5,0,4,15,120,140,89,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
11,2,3/11/14,WN,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,830,4,0,4,10,120,126,114,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
27,4,3/27/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1925,13,0,4,31,116,134,106,679,Departure Delay 15 min or less,Arrival Delay more than 15 min
21,2,1/21/14,AS,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,1845,-2,0,7,-5,125,122,100,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
