State,Medical School,Men,Women,All,Year,,,,,,,,,,,,
NY,Zucker Hofstra Northwell,52,47,99,5,,,,,,,,,,,,
OH,Case Western Reserve,124,114,238,5,,,,,,,,,,,,
OH,Cincinnati,82,77,159,5,,,,,,,,,,,,
OH,Northeast Ohio,61,73,134,5,,,,,,,,,,,,
OH,Ohio State,84,105,189,5,,,,,,,,,,,,
OH,Toledo,93,75,168,5,,,,,,,,,,,,
OH,Wright State-Boonshoft,45,59,104,5,,,,,,,,,,,,
OK,Oklahoma,87,74,161,5,,,,,,,,,,,,
OR,Oregon,55,96,151,5,,,,,,,,,,,,
PA,Drexel,124,131,255,5,,,,,,,,,,,,
PA,Geisinger Commonwealth,49,54,103,5,,,,,,,,,,,,
PA,Jefferson-Kimmel,137,136,273,5,,,,,,,,,,,,
PA,Penn State,65,74,139,5,,,,,,,,,,,,
PA,Pennsylvania-Perelman,72,88,160,5,,,,,,,,,,,,
PA,Pittsburgh,63,73,136,5,,,,,,,,,,,,
PA,Temple-Katz,90,93,183,5,,,,,,,,,,,,
PR,Caribe,34,32,66,5,,,,,,,,,,,,
PR,Ponce,34,36,70,5,,,,,,,,,,,,
PR,Puerto Rico,51,55,106,5,,,,,,,,,,,,
PR,San Juan Bautista,23,39,62,5,,,,,,,,,,,,
RI,Brown-Alpert,64,73,137,5,,,,,,,,,,,,
SC,MU South Carolina,95,73,168,5,,,,,,,,,,,,
SC,South Carolina Columbia,50,37,87,5,,,,,,,,,,,,
SC,South Carolina Greenville,47,53,100,5,,,,,,,,,,,,
SD,South Dakota-Sanford,40,29,69,5,,,,,,,,,,,,
TN,East Tennessee-Quillen,35,34,69,5,,,,,,,,,,,,
TN,Meharry,46,43,89,5,,,,,,,,,,,,
TN,Tennessee,95,63,158,5,,,,,,,,,,,,
TN,Vanderbilt,41,41,82,5,,,,,,,,,,,,
TX,Baylor,88,105,193,5,,,,,,,,,,,,
TX,Houston-Fertitta,-,-,-,5,,,,,,,,,,,,
TX,TCU-Burnett,-,-,-,5,,,,,,,,,,,,
TX,Texas A&M,89,92,181,5,,,,,,,,,,,,
TX,Texas Tech,98,77,175,5,,,,,,,,,,,,
TX,Texas Tech-Foster,54,35,89,5,,,,,,,,,,,,
TX,UT Austin-Dell,26,23,49,5,,,,,,,,,,,,
TX,UT Houston-McGovern,112,132,244,5,,,,,,,,,,,,
TX,UT Medical Branch-Sealy,116,99,215,5,,,,,,,,,,,,
TX,UT Rio Grande Valley,18,21,39,5,,,,,,,,,,,,
TX,UT San Antonio-Long,109,91,200,5,,,,,,,,,,,,
TX,UT Southwestern,116,110,226,5,,,,,,,,,,,,
UT,Utah-Eccles,78,54,132,5,,,,,,,,,,,,
VA,Eastern Virginia ODU,86,61,147,5,,,,,,,,,,,,
VA,Virginia,80,73,153,5,,,,,,,,,,,,
VA,Virginia Commonwealth,111,106,217,5,,,,,,,,,,,,
VA,Virginia Tech Carilion,26,19,45,5,,,,,,,,,,,,
VT,Vermont-Larner,57,64,121,5,,,,,,,,,,,,
WA,U Washington,112,150,262,5,,,,,,,,,,,,
WA,Washington State-Floyd,-,-,-,5,,,,,,,,,,,,
WI,MC Wisconsin,142,100,242,5,,,,,,,,,,,,
WI,Wisconsin,80,79,159,5,,,,,,,,,,,,
WV,Marshall-Edwards,51,28,79,5,,,,,,,,,,,,
WV,West Virginia,53,48,101,5,,,,,,,,,,,,
AL,Alabama-Heersink,97,83,180,4,,,,,,,,,,,,
AL,South Alabama-Whiddon,36,33,69,4,,,,,,,,,,,,
AR,Arkansas,101,76,177,4,,,,,,,,,,,,
AZ,Arizona,61,58,119,4,,,,,,,,,,,,
AZ,Arizona Phoenix,31,43,74,4,,,,,,,,,,,,
CA,California,-,-,-,4,,,,,,,,,,,,
CA,California Northstate,47,47,94,4,,,,,,,,,,,,
CA,Kaiser Permanente-Tyson,-,-,-,4,,,,,,,,,,,,
CA,Loma Linda,94,73,167,4,,,,,,,,,,,,
CA,Southern Cal-Keck,98,94,192,4,,,,,,,,,,,,
CA,Stanford,49,55,104,4,,,,,,,,,,,,
CA,UC Davis,36,69,105,4,,,,,,,,,,,,
CA,UC Irvine,47,59,106,4,,,,,,,,,,,,
CA,UC Riverside,27,30,57,4,,,,,,,,,,,,
CA,UC San Diego,63,77,140,4,,,,,,,,,,,,
CA,UC San Francisco,71,102,173,4,,,,,,,,,,,,
CA,UCLA-Geffen,91,113,204,4,,,,,,,,,,,,
CO,Colorado,87,95,182,4,,,,,,,,,,,,
CT,Connecticut,47,60,107,4,,,,,,,,,,,,
CT,Quinnipiac-Netter,36,59,95,4,,,,,,,,,,,,
CT,Yale,53,39,92,4,,,,,,,,,,,,
DC,George Washington,58,106,164,4,,,,,,,,,,,,
DC,Georgetown,99,83,182,4,,,,,,,,,,,,
DC,Howard,57,68,125,4,,,,,,,,,,,,
FL,FIU-Wertheim,50,63,113,4,,,,,,,,,,,,
FL,Florida,77,73,150,4,,,,,,,,,,,,
FL,Florida Atlantic-Schmidt,25,30,55,4,,,,,,,,,,,,
FL,Florida State,56,63,119,4,,,,,,,,,,,,
FL,Miami-Miller,88,117,205,4,,,,,,,,,,,,
FL,Nova Southeastern-Patel,-,-,-,4,,,,,,,,,,,,
FL,UCF,63,58,121,4,,,,,,,,,,,,
FL,USF-Morsani,93,80,173,4,,,,,,,,,,,,
GA,Emory,58,67,125,4,,,,,,,,,,,,
GA,MC Georgia Augusta,118,113,231,4,,,,,,,,,,,,
GA,Mercer,61,67,128,4,,,,,,,,,,,,
GA,Morehouse,33,48,81,4,,,,,,,,,,,,
HI,Hawaii-Burns,29,39,68,4,,,,,,,,,,,,
IA,Iowa-Carver,73,68,141,4,,,,,,,,,,,,
IL,Carle Illinois,-,-,-,4,,,,,,,,,,,,
IL,Chicago Med Franklin,94,79,173,4,,,,,,,,,,,,
IL,Chicago-Pritzker,46,34,80,4,,,,,,,,,,,,
IL,Illinois,142,148,290,4,,,,,,,,,,,,
IL,Loyola-Stritch,80,87,167,4,,,,,,,,,,,,
IL,Northwestern-Feinberg,86,72,158,4,,,,,,,,,,,,
IL,Rush,66,56,122,4,,,,,,,,,,,,
IL,Southern Illinois,32,38,70,4,,,,,,,,,,,,
IN,Indiana,189,157,346,4,,,,,,,,,,,,
KS,Kansas,119,95,214,4,,,,,,,,,,,,
KY,Kentucky,64,66,130,4,,,,,,,,,,,,
KY,Louisville,87,74,161,4,,,,,,,,,,,,
LA,LSU New Orleans,92,100,192,4,,,,,,,,,,,,
LA,LSU Shreveport,55,60,115,4,,,,,,,,,,,,
LA,Tulane,95,90,185,4,,,,,,,,,,,,
MA,BU-Chobanian Avedisian,82,85,167,4,,,,,,,,,,,,
MA,Harvard,78,82,160,4,,,,,,,,,,,,
MA,Massachusetts-Chan,77,92,169,4,,,,,,,,,,,,
MA,Tufts,85,111,196,4,,,,,,,,,,,,
MD,Johns Hopkins,55,64,119,4,,,,,,,,,,,,
MD,Maryland,59,92,151,4,,,,,,,,,,,,
MD,Uniformed Services-Hebert,81,81,162,4,,,,,,,,,,,,
MI,Central Michigan,43,45,88,4,,,,,,,,,,,,
MI,Michigan,74,95,169,4,,,,,,,,,,,,
MI,Michigan State,85,103,188,4,,,,,,,,,,,,
MI,Oakland Beaumont,47,70,117,4,,,,,,,,,,,,
MI,Wayne State,148,135,283,4,,,,,,,,,,,,
MI,Western Michigan-Stryker,34,38,72,4,,,,,,,,,,,,
MN,Mayo-Alix,53,46,99,4,,,,,,,,,,,,
MN,Minnesota,98,143,241,4,,,,,,,,,,,,
MO,Missouri Columbia,64,60,124,4,,,,,,,,,,,,
MO,Missouri Kansas City,42,62,104,4,,,,,,,,,,,,
MO,Saint Louis,98,75,173,4,,,,,,,,,,,,
MO,Washington U St Louis,53,52,105,4,,,,,,,,,,,,
MS,Mississippi,69,69,138,4,,,,,,,,,,,,
NC,Duke,50,64,114,4,,,,,,,,,,,,
NC,East Carolina-Brody,37,43,80,4,,,,,,,,,,,,
NC,North Carolina,94,100,194,4,,,,,,,,,,,,
NC,Wake Forest,70,74,144,4,,,,,,,,,,,,
ND,North Dakota,34,42,76,4,,,,,,,,,,,,
NE,Creighton,91,73,164,4,,,,,,,,,,,,
NE,Nebraska,72,51,123,4,,,,,,,,,,,,
NH,Dartmouth-Geisel,43,56,99,4,,,,,,,,,,,,
NJ,Cooper Rowan,39,60,99,4,,,,,,,,,,,,
NJ,Hackensack Meridian,11,7,18,4,,,,,,,,,,,,
NJ,Rutgers New Jersey,102,84,186,4,,,,,,,,,,,,
NJ,Rutgers-RW Johnson,73,89,162,4,,,,,,,,,,,,
NM,New Mexico,37,47,84,4,,,,,,,,,,,,
NV,Nevada Reno,31,33,64,4,,,,,,,,,,,,
NV,UNLV-Kerkorian,24,26,50,4,,,,,,,,,,,,
NY,Albany,59,66,125,4,,,,,,,,,,,,
NY,Buffalo-Jacobs,95,83,178,4,,,,,,,,,,,,
NY,CUNY,18,31,49,4,,,,,,,,,,,,
NY,Columbia-Vagelos,74,81,155,4,,,,,,,,,,,,
NY,Cornell-Weill,45,45,90,4,,,,,,,,,,,,
NY,Einstein,92,81,173,4,,,,,,,,,,,,
NY,Mount Sinai-Icahn,69,78,147,4,,,,,,,,,,,,
NY,NYU Long Island-Grossman,-,-,-,4,,,,,,,,,,,,
NY,NYU-Grossman,60,61,121,4,,,,,,,,,,,,
NY,New York Medical,98,107,205,4,,,,,,,,,,,,
NY,Renaissance Stony Brook,82,71,153,4,,,,,,,,,,,,
NY,Rochester,47,46,93,4,,,,,,,,,,,,
NY,SUNY Downstate,103,104,207,4,,,,,,,,,,,,
NY,SUNY Upstate-Norton,84,88,172,4,,,,,,,,,,,,
NY,Zucker Hofstra Northwell,53,44,97,4,,,,,,,,,,,,
OH,Case Western Reserve,95,110,205,4,,,,,,,,,,,,
OH,Cincinnati,90,85,175,4,,,,,,,,,,,,
OH,Northeast Ohio,64,76,140,4,,,,,,,,,,,,
OH,Ohio State,98,105,203,4,,,,,,,,,,,,
OH,Toledo,84,84,168,4,,,,,,,,,,,,
