AGEP,SEX,WAGP,ESR,PERNP,PINCP,Major
62,Female,500,NotInLaborForce,500,500,SOCIOLOGY
51,Female,0,NotInLaborForce,0,0,THEOLOGY AND RELIGIOUS VOCATIONS
71,Male,0,NotInLaborForce,0,-5400,GEOLOGY AND EARTH SCIENCE
56,Female,39000,Employed,39000,39000,LANGUAGE AND DRAMA EDUCATION
76,Female,0,NotInLaborForce,0,10800,LIBERAL ARTS
54,Male,0,NotInLaborForce,0,30000,BUSINESS MANAGEMENT AND ADMINISTRATION
59,Female,0,NotInLaborForce,0,0,PSYCHOLOGY
26,Female,22300,Employed,22300,22300,GENERAL BUSINESS
25,Male,0,UnEmployed,0,30000,PHYSICAL FITNESS PARKS RECREATION AND LEISURE
55,Female,102000,Employed,102000,104500,ACCOUNTING
63,Male,90000,Employed,90000,90000,ENGLISH LANGUAGE AND LITERATURE
32,Female,42000,Employed,42000,51000,HISTORY
37,Male,51000,Employed,51000,51000,ENGINEERING TECHNOLOGIES
37,Female,60000,Employed,60000,60000,OTHER FOREIGN LANGUAGES
36,Female,45000,Employed,50000,50000,ENGLISH LANGUAGE AND LITERATURE
39,Female,55000,Employed,55000,55000,MATHEMATICS
50,Male,69000,Employed,69000,69000,GENERAL BUSINESS
47,Male,150000,Employed,150000,150000,ELECTRICAL ENGINEERING
44,Male,88000,Employed,88000,93000,ECONOMICS
31,Female,21900,Employed,21900,21900,ACCOUNTING
25,Female,65000,Employed,65000,65000,ENVIRONMENTAL SCIENCE
67,Female,0,NotInLaborForce,0,0,FINE ARTS
40,Female,45000,Employed,45000,45000,GENERAL BUSINESS
56,Female,59000,Employed,59000,59550,ECONOMICS
48,Female,6000,NotInLaborForce,6000,6000,LIBERAL ARTS
53,Male,0,NotInLaborForce,0,0,HOSPITALITY MANAGEMENT
39,Male,85000,Employed,85000,85000,HISTORY
30,Male,98000,Employed,98000,98000,MATHEMATICS
68,Male,0,NotInLaborForce,0,18000,MISCELLANEOUS PSYCHOLOGY
76,Female,0,NotInLaborForce,0,35000,ENGLISH LANGUAGE AND LITERATURE
70,Female,0,NotInLaborForce,0,13100,INTERDISCIPLINARY SOCIAL SCIENCES
43,Female,75000,Employed,75000,75000,JOURNALISM
57,Female,7000,Employed,7000,7000,GENERAL BUSINESS
31,Female,36000,Employed,36000,36000,PSYCHOLOGY
28,Male,25000,Employed,25000,25000,DRAMA AND THEATER ARTS
27,Male,120000,Employed,120000,121000,COMPUTER SCIENCE
57,Male,180000,Employed,180000,270000,SPECIAL NEEDS EDUCATION
24,Female,23000,Employed,23000,23000,CRIMINAL JUSTICE AND FIRE PROTECTION
59,Male,170000,Employed,170000,174000,BUSINESS MANAGEMENT AND ADMINISTRATION
39,Female,35000,Employed,35000,45000,JOURNALISM
69,Male,0,NotInLaborForce,0,46000,GENERAL BUSINESS
53,Female,48000,Employed,48000,51600,ENVIRONMENTAL SCIENCE
29,Male,3700,NotInLaborForce,3700,3700,INFORMATION SCIENCES
50,Female,180000,Employed,180000,181000,SOCIOLOGY
79,Male,0,NotInLaborForce,0,93600,MISCELLANEOUS EDUCATION
48,Male,95000,Employed,95000,95000,COMMUNICATIONS
36,Female,186000,Employed,186000,186000,MARKETING AND MARKETING RESEARCH
23,Female,2000,Employed,2000,2000,COMPUTER SCIENCE
50,Female,0,NotInLaborForce,0,1500,ACCOUNTING
68,Male,0,NotInLaborForce,0,15400,LANGUAGE AND DRAMA EDUCATION
68,Female,0,NotInLaborForce,0,22800,HISTORY
71,Female,11200,Employed,11200,59200,ELEMENTARY EDUCATION
24,Male,32000,Employed,32000,32000,MISCELLANEOUS BIOLOGY
45,Female,0,NotInLaborForce,0,0,CRIMINOLOGY
71,Male,0,NotInLaborForce,0,58700,LIBERAL ARTS
65,Female,0,NotInLaborForce,0,9600,GENERAL EDUCATION
66,Male,161000,NotInLaborForce,161000,183000,GENERAL BUSINESS
56,Female,0,NotInLaborForce,0,49700,ELEMENTARY EDUCATION
57,Female,139000,Employed,139000,139000,FINANCE
42,Female,70000,Employed,70000,70000,CHEMICAL ENGINEERING
47,Male,155000,Employed,155000,155000,PHYSICAL FITNESS PARKS RECREATION AND LEISURE
26,Female,12000,Employed,12000,12000,FILM VIDEO AND PHOTOGRAPHIC ARTS
46,Female,82000,Employed,82000,82000,LIBERAL ARTS
57,Male,50000,Employed,50000,50000,TRANSPORTATION SCIENCES AND TECHNOLOGIES
64,Female,0,NotInLaborForce,0,51600,ENGLISH LANGUAGE AND LITERATURE
61,Female,0,NotInLaborForce,0,4,LIBERAL ARTS
51,Female,55000,Employed,55000,101000,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES
74,Female,0,NotInLaborForce,0,24000,NURSING
44,Female,0,NotInLaborForce,0,1000,CHEMISTRY
46,Male,100000,Employed,100000,130000,FINANCE
71,Male,10000,NotInLaborForce,10000,30100,COMMUNICATIONS
94,Female,0,NotInLaborForce,0,24000,HISTORY
64,Female,9000,NotInLaborForce,9000,41600,FINE ARTS
23,Female,19500,Employed,19500,19500,AREA ETHNIC AND CIVILIZATION STUDIES
66,Male,69000,Employed,69000,79000,FINANCE
27,Female,70000,Employed,70000,70000,BIOLOGY
63,Female,0,NotInLaborForce,0,10700,FAMILY AND CONSUMER SCIENCES
67,Male,0,NotInLaborForce,0,20400,ACCOUNTING
59,Female,78000,Employed,78000,78000,BUSINESS MANAGEMENT AND ADMINISTRATION
50,Female,81000,Employed,81000,81000,COMMUNICATIONS
69,Male,65000,Employed,65000,89450,BUSINESS MANAGEMENT AND ADMINISTRATION
36,Female,100000,Employed,100000,100000,COMMUNICATIONS
45,Female,67000,Employed,67000,67000,PHYSICAL AND HEALTH EDUCATION TEACHING
40,Female,0,NotInLaborForce,0,0,PSYCHOLOGY
65,Female,55000,Employed,55000,55000,BUSINESS MANAGEMENT AND ADMINISTRATION
51,Male,55000,Employed,55000,86000,SOCIOLOGY
48,Female,0,NotInLaborForce,0,38000,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES
64,Male,80000,Employed,80000,101200,THEOLOGY AND RELIGIOUS VOCATIONS
58,Female,0,NotInLaborForce,0,600,DRAMA AND THEATER ARTS
30,Male,67000,Employed,67000,67000,ELECTRICAL ENGINEERING TECHNOLOGY
61,Female,200000,Employed,200000,214000,NURSING
29,Female,52000,Employed,52000,52000,ANTHROPOLOGY AND ARCHEOLOGY
65,Female,0,NotInLaborForce,0,21500,ANTHROPOLOGY AND ARCHEOLOGY
45,Female,0,Employed,150000,150000,ACCOUNTING
46,Female,20000,Employed,20000,22000,ACCOUNTING
46,Female,0,Employed,6000,66000,STUDIO ARTS
45,Male,75000,Employed,75000,75000,MOLECULAR BIOLOGY
58,Male,24000,Employed,24000,24000,SOCIOLOGY
23,Female,30000,Employed,30000,30000,INTERDISCIPLINARY SOCIAL SCIENCES
29,Female,30000,Employed,30000,30000,POLITICAL SCIENCE AND GOVERNMENT
52,Female,62000,Employed,62000,62000,FINE ARTS
42,Female,47000,Employed,47000,47000,PHILOSOPHY AND RELIGIOUS STUDIES
71,Female,100000,Employed,100000,212800,GENERAL SOCIAL SCIENCES
38,Female,0,NotInLaborForce,0,0,BIOLOGY
53,Female,0,NotInLaborForce,0,9600,ENGLISH LANGUAGE AND LITERATURE
59,Male,90000,Employed,90000,91000,COMMUNICATIONS
71,Female,0,NotInLaborForce,0,19920,GENERAL EDUCATION
35,Female,95000,Employed,95000,95000,SOIL SCIENCE
67,Male,0,NotInLaborForce,0,0,MISCELLANEOUS EDUCATION
23,Female,0,UnEmployed,0,0,HEALTH AND MEDICAL PREPARATORY PROGRAMS
59,Male,0,NotInLaborForce,0,16000,ECONOMICS
43,Male,113000,Employed,113000,113000,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS
64,Male,0,NotInLaborForce,0,22400,ELECTRICAL ENGINEERING
74,Male,0,NotInLaborForce,0,19700,ELECTRICAL ENGINEERING
30,Female,70000,Employed,70000,70000,COMMUNICATIONS
32,Female,60000,Employed,60000,60000,AREA ETHNIC AND CIVILIZATION STUDIES
32,Male,7200,Employed,7200,7200,BIOLOGY
85,Male,7000,Employed,7000,25000,POLITICAL SCIENCE AND GOVERNMENT
23,Male,25000,Employed,30000,30000,MARKETING AND MARKETING RESEARCH
28,Male,17000,Employed,17000,17000,SOCIOLOGY
40,Female,15000,Employed,15000,15000,ENGLISH LANGUAGE AND LITERATURE
51,Male,160000,Employed,160000,164000,ECONOMICS
53,Male,125000,Employed,125000,125000,GENERAL ENGINEERING
74,Male,0,NotInLaborForce,0,23400,GENERAL BUSINESS
26,Male,21500,Employed,21500,21500,NATURAL RESOURCES MANAGEMENT
60,Female,12000,Employed,12000,320000,SOCIOLOGY
52,Male,1800,Employed,24800,24800,GENETICS
29,Male,115000,Employed,115000,115000,ENGLISH LANGUAGE AND LITERATURE
62,Female,0,Employed,23000,23000,BUSINESS MANAGEMENT AND ADMINISTRATION
50,Female,165000,Employed,165000,165600,ELECTRICAL ENGINEERING
74,Male,0,Employed,70000,142000,PSYCHOLOGY
34,Male,52000,Employed,52000,52000,GENERAL BUSINESS
61,Male,173000,Employed,173000,182100,CIVIL ENGINEERING
58,Female,0,NotInLaborForce,0,0,GENERAL BUSINESS
37,Male,174000,Employed,174000,174000,ADVERTISING AND PUBLIC RELATIONS
75,Female,0,NotInLaborForce,0,7000,HISTORY
22,Male,21600,Employed,21600,21600,PHYSIOLOGY
30,Male,10000,NotInLaborForce,10000,10000,BUSINESS MANAGEMENT AND ADMINISTRATION
27,Female,50000,Employed,50000,50000,INTERNATIONAL BUSINESS
24,Female,10000,Employed,10000,10000,GENERAL BUSINESS
40,Male,65000,Employed,65000,65850,FINANCE
48,Female,92000,Employed,92000,92000,ENGLISH LANGUAGE AND LITERATURE
35,Male,504000,Employed,504000,624000,FINANCE
29,Male,42000,Employed,42000,42000,COMMUNICATIONS
26,Female,25000,Employed,25000,25000,PSYCHOLOGY
47,Female,90000,Employed,90000,90000,HUMANITIES
24,Female,25000,Employed,25000,25000,PSYCHOLOGY
58,Female,0,NotInLaborForce,0,0,NURSING
33,Female,70000,Employed,70000,70000,INTERNATIONAL RELATIONS
23,Male,16400,NotInLaborForce,16400,16400,FINANCE
46,Male,161000,Employed,161000,161000,COMPUTER SCIENCE
30,Male,60000,Employed,63000,63000,GENERAL EDUCATION
64,Male,57000,Employed,57000,62000,PSYCHOLOGY
52,Male,160000,Employed,160000,160000,ELECTRICAL ENGINEERING
39,Male,150000,Employed,150000,151000,BUSINESS MANAGEMENT AND ADMINISTRATION
38,Male,100000,Employed,100050,114050,FINE ARTS
60,Male,504000,Employed,504000,504000,ACCOUNTING
53,Male,80000,Employed,80000,80000,GENERAL BUSINESS
24,Female,2000,Employed,2000,2000,DRAMA AND THEATER ARTS
46,Female,22000,Employed,22000,22000,SOCIOLOGY
23,Female,40000,Employed,40000,40000,COMMUNICATIONS
43,Male,140000,Employed,140000,140000,NURSING
73,Male,56000,Employed,56000,68100,BUSINESS MANAGEMENT AND ADMINISTRATION
49,Male,126000,Employed,126000,126000,POLITICAL SCIENCE AND GOVERNMENT
54,Female,215000,Employed,215000,215100,COMMUNICATIONS
69,Male,0,NotInLaborForce,0,166500,CRIMINAL JUSTICE AND FIRE PROTECTION
31,Female,0,NotInLaborForce,0,0,ENGLISH LANGUAGE AND LITERATURE
74,Female,0,NotInLaborForce,0,55000,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES
48,Male,0,UnEmployed,0,0,GENERAL BUSINESS
34,Male,13000,Employed,13000,13000,MARKETING AND MARKETING RESEARCH
39,Male,60000,Employed,60000,60001,COMPUTER SCIENCE
58,Male,80000,Employed,80000,80000,MATHEMATICS
69,Male,0,NotInLaborForce,0,14000,HISTORY
31,Female,0,NotInLaborForce,0,0,LANGUAGE AND DRAMA EDUCATION
63,Female,0,NotInLaborForce,0,30100,FAMILY AND CONSUMER SCIENCES
41,Male,504000,Employed,504000,504000,CIVIL ENGINEERING
53,Female,0,NotInLaborForce,0,10000,ARCHITECTURE
48,Male,48000,Employed,48000,48000,GENERAL BUSINESS
20,Male,0,NotInLaborForce,0,0,GENERAL ENGINEERING
62,Female,0,NotInLaborForce,0,72050,BUSINESS MANAGEMENT AND ADMINISTRATION
52,Male,95000,Employed,95000,95000,GENERAL ENGINEERING
35,Male,0,Employed,60000,85000,AREA ETHNIC AND CIVILIZATION STUDIES
39,Female,80000,Employed,80000,80000,LIBERAL ARTS
28,Female,100000,Employed,100000,100000,ACCOUNTING
67,Male,0,NotInLaborForce,0,4000,ECONOMICS
43,Male,52000,Employed,52000,52000,COMPUTER ENGINEERING
73,Female,0,NotInLaborForce,0,29000,MATHEMATICS
32,Female,0,NotInLaborForce,0,16000,ACCOUNTING
86,Female,0,NotInLaborForce,0,45600,FINE ARTS
52,Male,0,Employed,27000,27000,ECONOMICS
47,Male,80000,Employed,80000,80000,ADVERTISING AND PUBLIC RELATIONS
34,Male,0,Employed,17000,17000,MASS MEDIA
43,Female,140000,Employed,140000,140000,MARKETING AND MARKETING RESEARCH
51,Female,85000,Employed,85000,79600,LIBERAL ARTS
42,Male,150000,Employed,150000,150000,INTERNATIONAL BUSINESS
59,Female,100000,Employed,100000,100000,GENERAL EDUCATION
51,Male,125000,Employed,125000,129800,GENERAL BUSINESS
36,Male,90000,Employed,90000,90000,CIVIL ENGINEERING
32,Male,0,NotInLaborForce,0,25000,PHYSICAL AND HEALTH EDUCATION TEACHING
47,Male,158000,Employed,158000,158000,COMPUTER ENGINEERING
72,Female,0,NotInLaborForce,0,36400,ANTHROPOLOGY AND ARCHEOLOGY
55,Female,155000,Employed,155000,155000,COMMERCIAL ART AND GRAPHIC DESIGN
49,Male,200000,Employed,210000,210000,BUSINESS MANAGEMENT AND ADMINISTRATION
38,Female,90000,Employed,90000,90000,BUSINESS MANAGEMENT AND ADMINISTRATION
34,Female,15000,NotInLaborForce,15000,27000,FINE ARTS
40,Female,80000,Employed,80000,80000,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES
83,Female,0,NotInLaborForce,0,16100,PSYCHOLOGY
25,Male,100000,Employed,100000,100000,COMMUNICATIONS
36,Male,0,NotInLaborForce,2600,2600,POLITICAL SCIENCE AND GOVERNMENT
49,Female,128000,Employed,128000,128000,ACCOUNTING
63,Female,0,NotInLaborForce,0,3100,INFORMATION SCIENCES
24,Female,90000,Employed,90000,90000,POLITICAL SCIENCE AND GOVERNMENT
22,Female,2000,Employed,2000,2000,BIOLOGY
40,Male,200000,Employed,200000,200000,MULTI-DISCIPLINARY OR GENERAL SCIENCE
49,Female,0,NotInLaborForce,0,50000,COMMERCIAL ART AND GRAPHIC DESIGN
63,Male,180000,Employed,180000,180000,GENERAL BUSINESS
61,Female,65000,Employed,65000,65000,GENERAL EDUCATION
47,Male,83000,Employed,83000,83000,ELECTRICAL ENGINEERING
30,Female,63000,Employed,63000,63000,BUSINESS MANAGEMENT AND ADMINISTRATION
25,Female,40000,Employed,40000,40000,MASS MEDIA
65,Female,35000,UnEmployed,35000,38200,ENGLISH LANGUAGE AND LITERATURE
30,Female,2300,Employed,2300,2300,POLITICAL SCIENCE AND GOVERNMENT
35,Female,86000,Employed,86000,86000,LIBERAL ARTS
48,Female,90000,Employed,90000,90000,MATHEMATICS TEACHER EDUCATION
41,Female,30000,Employed,30000,30000,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS
50,Male,69000,Employed,69000,69000,OTHER FOREIGN LANGUAGES
47,Male,60000,Employed,60000,61800,ELECTRICAL ENGINEERING
30,Female,80000,Employed,80000,92000,AGRICULTURE PRODUCTION AND MANAGEMENT
60,Female,28000,Employed,28000,109000,CRIMINAL JUSTICE AND FIRE PROTECTION
61,Male,0,NotInLaborForce,0,0,COMPUTER SCIENCE
50,Female,150000,Employed,150000,150500,ACCOUNTING
42,Male,181000,Employed,181000,205000,MECHANICAL ENGINEERING
28,Female,73000,Employed,73000,73000,NURSING
55,Female,80000,Employed,80000,80000,NURSING
42,Male,120000,Employed,120000,120000,COMPUTER SCIENCE
84,Female,0,NotInLaborForce,0,8500,FINE ARTS
64,Male,135000,Employed,135000,135000,BUSINESS MANAGEMENT AND ADMINISTRATION
54,Female,93000,Employed,93000,93000,ENGLISH LANGUAGE AND LITERATURE
38,Male,130000,Employed,130000,130000,ELECTRICAL ENGINEERING
41,Female,15000,Employed,15000,15000,GENERAL EDUCATION
60,Male,0,NotInLaborForce,0,42000,ACCOUNTING
69,Female,4000,Employed,4000,23000,ART HISTORY AND CRITICISM
22,Female,2600,Employed,2600,2600,MARKETING AND MARKETING RESEARCH
49,Female,0,NotInLaborForce,0,5300,HUMAN RESOURCES AND PERSONNEL MANAGEMENT
40,Male,100000,Employed,102600,102600,COMMERCIAL ART AND GRAPHIC DESIGN
42,Female,68000,Employed,68000,62600,BIOLOGY
70,Female,0,NotInLaborForce,0,62050,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION
55,Female,50000,Employed,50000,50000,ENGLISH LANGUAGE AND LITERATURE
60,Female,0,NotInLaborForce,0,0,MEDICAL TECHNOLOGIES TECHNICIANS
46,Female,85000,Employed,85000,89200,FINANCE
47,Female,78000,Employed,78000,78000,BUSINESS MANAGEMENT AND ADMINISTRATION
54,Female,0,Employed,30000,57000,DRAMA AND THEATER ARTS
41,Female,24000,Employed,24000,24000,SOCIOLOGY
41,Male,90000,Employed,90000,97200,AREA ETHNIC AND CIVILIZATION STUDIES
33,Female,75000,Employed,75000,75000,SOCIOLOGY
58,Male,0,NotInLaborForce,0,30200,COMMUNICATIONS
55,Female,6800,Employed,6800,6800,NURSING
33,Male,150000,Employed,150000,150000,COMPUTER SCIENCE
65,Male,0,NotInLaborForce,0,0,GENERAL EDUCATION
49,Female,0,NotInLaborForce,0,0,COMPUTER AND INFORMATION SYSTEMS
30,Female,30000,Employed,30000,30000,BUSINESS MANAGEMENT AND ADMINISTRATION
27,Female,6000,Employed,6000,6000,MULTI-DISCIPLINARY OR GENERAL SCIENCE
44,Male,250000,Employed,250000,250000,BUSINESS MANAGEMENT AND ADMINISTRATION
84,Male,65000,Employed,65000,91500,MECHANICAL ENGINEERING
71,Male,0,NotInLaborForce,0,0,CRIMINOLOGY
52,Male,24300,Employed,24300,33300,CONSTRUCTION SERVICES
61,Male,0,NotInLaborForce,0,168000,NATURAL RESOURCES MANAGEMENT
65,Male,0,NotInLaborForce,0,61000,MISCELLANEOUS PSYCHOLOGY
38,Female,0,NotInLaborForce,0,0,JOURNALISM
71,Female,0,NotInLaborForce,0,37000,SOCIOLOGY
73,Male,0,NotInLaborForce,0,80000,BUSINESS MANAGEMENT AND ADMINISTRATION
54,Male,18000,Employed,18000,18000,ACCOUNTING
32,Female,90000,Employed,90000,90000,COMMERCIAL ART AND GRAPHIC DESIGN
25,Female,27000,Employed,27000,27000,CHEMISTRY
71,Female,0,NotInLaborForce,0,13000,ECONOMICS
87,Female,0,NotInLaborForce,0,0,GENERAL BUSINESS
29,Male,120000,Employed,120000,120050,MECHANICAL ENGINEERING
54,Female,65000,Employed,65000,65000,COMMUNICATIONS
22,Female,3000,Employed,3000,3000,CHEMISTRY
30,Male,25000,Employed,25000,25000,ECONOMICS
72,Male,0,NotInLaborForce,0,0,GENERAL ENGINEERING
22,Female,19000,Employed,19000,19000,PHILOSOPHY AND RELIGIOUS STUDIES
78,Female,0,NotInLaborForce,0,27600,SOCIOLOGY
70,Male,0,NotInLaborForce,0,23400,ENGINEERING TECHNOLOGIES
69,Male,0,NotInLaborForce,0,25200,PUBLIC ADMINISTRATION
54,Female,155000,Employed,155000,155000,BUSINESS MANAGEMENT AND ADMINISTRATION
62,Female,0,NotInLaborForce,0,2350,MULTI-DISCIPLINARY OR GENERAL SCIENCE
33,Female,35000,Employed,35000,35000,POLITICAL SCIENCE AND GOVERNMENT
44,Female,170000,Employed,170000,180000,ART HISTORY AND CRITICISM
32,Male,47800,Employed,47800,47800,COMPUTER AND INFORMATION SYSTEMS
35,Male,120000,Employed,120000,120000,COMPUTER SCIENCE
94,Male,0,NotInLaborForce,0,30000,GENERAL ENGINEERING
73,Male,0,NotInLaborForce,0,97000,NATURAL RESOURCES MANAGEMENT
27,Female,50000,Employed,50000,50000,COMMUNICATIONS
24,Female,20000,Employed,20000,20000,COMMUNICATIONS
36,Female,58000,Employed,58000,58000,ELECTRICAL ENGINEERING
75,Female,0,NotInLaborForce,0,7000,TREATMENT THERAPY PROFESSIONS
35,Female,44500,Employed,44500,44500,MATHEMATICS
30,Female,60000,Employed,60000,60000,PSYCHOLOGY
35,Female,65000,Employed,65000,73800,NURSING
55,Male,40000,Employed,40000,40000,COMMUNICATIONS
83,Male,0,NotInLaborForce,0,41200,PUBLIC ADMINISTRATION
34,Female,13200,Employed,13200,13200,COMMERCIAL ART AND GRAPHIC DESIGN
42,Female,2000,NotInLaborForce,2000,2000,GENERAL EDUCATION
40,Female,75000,Employed,75000,75000,NURSING
42,Female,100000,Employed,127600,127600,TREATMENT THERAPY PROFESSIONS
55,Female,8800,Employed,8800,22000,MARKETING AND MARKETING RESEARCH
42,Male,0,NotInLaborForce,0,0,GENERAL ENGINEERING
29,Female,18200,Employed,18200,18200,MARKETING AND MARKETING RESEARCH
35,Male,96000,Employed,96000,96000,ELECTRICAL
94,Female,0,NotInLaborForce,0,19800,ENGLISH LANGUAGE AND LITERATURE
28,Male,35000,Employed,35000,35000,SOCIOLOGY
66,Female,0,NotInLaborForce,0,1620,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES
67,Female,0,NotInLaborForce,0,32200,FAMILY AND CONSUMER SCIENCES
68,Female,0,NotInLaborForce,0,3000,BUSINESS MANAGEMENT AND ADMINISTRATION
22,Male,120000,Employed,120000,120000,ELECTRICAL ENGINEERING
31,Male,18000,Employed,18000,18000,SOCIOLOGY
23,Female,10000,Employed,10000,10000,LIBERAL ARTS
77,Female,0,NotInLaborForce,0,24000,LIBERAL ARTS
47,Female,43000,Employed,43000,70900,CRIMINAL JUSTICE AND FIRE PROTECTION
35,Male,50000,Employed,50000,50000,DRAMA AND THEATER ARTS
40,Male,56000,Employed,56000,56000,ELECTRICAL ENGINEERING
57,Female,130000,Employed,130000,130000,BUSINESS MANAGEMENT AND ADMINISTRATION
28,Male,9600,Employed,9600,9600,BUSINESS MANAGEMENT AND ADMINISTRATION
35,Female,50000,Employed,50000,50000,BIOLOGY
33,Male,98000,Employed,98000,98000,MARKETING AND MARKETING RESEARCH
67,Male,0,NotInLaborForce,0,43290,GENERAL SOCIAL SCIENCES
35,Female,110000,Employed,110000,110000,BUSINESS MANAGEMENT AND ADMINISTRATION
51,Male,77000,Employed,77000,77000,ELECTRICAL ENGINEERING
54,Female,64000,Employed,64000,64000,ACCOUNTING
40,Male,80000,Employed,80000,80000,POLITICAL SCIENCE AND GOVERNMENT
56,Male,180000,Employed,180000,180000,ECONOMICS
62,Female,60000,Employed,60000,60000,FAMILY AND CONSUMER SCIENCES
46,Male,90000,Employed,90000,90000,MARKETING AND MARKETING RESEARCH
34,Female,27900,Employed,28650,28680,LIBERAL ARTS
46,Female,0,UnEmployed,0,2100,BUSINESS MANAGEMENT AND ADMINISTRATION
63,Male,20000,Employed,20000,30000,ENVIRONMENTAL SCIENCE
32,Male,200000,Employed,200000,257000,COMPUTER SCIENCE
30,Male,14500,Employed,44500,44500,COMMERCIAL ART AND GRAPHIC DESIGN
84,Male,0,NotInLaborForce,0,66800,BIOLOGY
57,Male,25000,Employed,25000,26500,POLITICAL SCIENCE AND GOVERNMENT
31,Female,27000,Employed,27000,27000,ECONOMICS
40,Female,88000,Employed,88000,88000,BUSINESS MANAGEMENT AND ADMINISTRATION
49,Female,25000,Employed,25000,25000,MATHEMATICS
41,Male,71000,Employed,71000,71000,LIBERAL ARTS
26,Male,87000,Employed,87000,87000,CIVIL ENGINEERING
63,Female,0,NotInLaborForce,0,53200,MATHEMATICS
42,Female,40000,Employed,40000,40000,BIOCHEMICAL SCIENCES
27,Female,42000,Employed,42000,42000,COMMUNITY AND PUBLIC HEALTH
49,Female,105000,Employed,105000,105000,COMMUNICATIONS
69,Male,0,Employed,40000,52000,FINE ARTS
27,Female,50000,Employed,50000,50260,PSYCHOLOGY
37,Male,1500,NotInLaborForce,1500,1500,PSYCHOLOGY
47,Female,100000,Employed,100000,100000,BUSINESS MANAGEMENT AND ADMINISTRATION
37,Female,16000,Employed,16000,16000,NURSING
82,Male,0,Employed,20000,42200,BUSINESS MANAGEMENT AND ADMINISTRATION
64,Male,0,NotInLaborForce,0,42000,GENERAL BUSINESS
24,Female,17000,Employed,17000,17000,BIOMEDICAL ENGINEERING
61,Male,102000,Employed,102000,103200,MECHANICAL ENGINEERING
64,Male,0,NotInLaborForce,0,10700,MARKETING AND MARKETING RESEARCH
51,Male,160000,Employed,161800,162300,ACCOUNTING
43,Male,50000,Employed,50000,50000,BIOLOGY
58,Male,16000,Employed,16000,16000,DRAMA AND THEATER ARTS
24,Female,20000,Employed,20000,20000,FAMILY AND CONSUMER SCIENCES
57,Male,153000,Employed,153000,170000,MECHANICAL ENGINEERING RELATED TECHNOLOGIES
86,Female,0,NotInLaborForce,0,17500,ELEMENTARY EDUCATION
40,Male,200000,Employed,200000,202500,MARKETING AND MARKETING RESEARCH
59,Female,0,NotInLaborForce,0,4000,INTERDISCIPLINARY SOCIAL SCIENCES
71,Female,0,NotInLaborForce,0,90000,SOCIOLOGY
35,Female,48000,Employed,48000,48000,SOCIOLOGY
69,Male,0,NotInLaborForce,0,59000,SOCIOLOGY
60,Male,260000,Employed,264000,264000,DRAMA AND THEATER ARTS
48,Male,93000,UnEmployed,93000,101000,COMPUTER SCIENCE
55,Female,0,NotInLaborForce,0,0,BIOLOGY
39,Female,75000,Employed,75000,75000,FAMILY AND CONSUMER SCIENCES
36,Female,0,NotInLaborForce,0,0,NURSING
26,Male,55000,Employed,55000,55000,GENERAL BUSINESS
21,Male,11800,Employed,11800,11800,COMMUNITY AND PUBLIC HEALTH
54,Male,0,NotInLaborForce,0,0,THEOLOGY AND RELIGIOUS VOCATIONS
39,Female,30000,Employed,30000,30000,TREATMENT THERAPY PROFESSIONS
75,Female,0,NotInLaborForce,0,94400,ACCOUNTING
70,Female,0,NotInLaborForce,0,20400,PSYCHOLOGY
70,Male,0,NotInLaborForce,0,83500,MATHEMATICS
43,Male,75000,Employed,75000,75010,BUSINESS MANAGEMENT AND ADMINISTRATION
26,Female,25000,Employed,25000,25000,SOCIOLOGY
45,Female,0,NotInLaborForce,0,2000,MUSIC
71,Female,31600,Employed,31600,42000,GENERAL EDUCATION
62,Male,65000,Employed,65000,65000,PSYCHOLOGY
48,Female,108000,Employed,108000,108200,CHEMISTRY
48,Female,96000,Employed,96000,96000,BUSINESS MANAGEMENT AND ADMINISTRATION
49,Female,0,NotInLaborForce,0,0,ACCOUNTING
59,Female,0,NotInLaborForce,0,0,INTERNATIONAL BUSINESS
36,Female,0,UnEmployed,0,0,ENVIRONMENTAL SCIENCE
59,Male,0,Employed,349000,349300,COMMUNICATIONS
53,Female,0,NotInLaborForce,0,0,JOURNALISM
26,Male,0,NotInLaborForce,0,0,GENERAL ENGINEERING
44,Male,120000,Employed,120000,120000,INTERNATIONAL RELATIONS
58,Female,5000,Employed,5000,5000,FAMILY AND CONSUMER SCIENCES
52,Female,0,NotInLaborForce,0,10400,ADVERTISING AND PUBLIC RELATIONS
28,Female,122000,Employed,122000,122000,NURSING
35,Female,43500,Employed,43500,43500,MUSIC
63,Male,0,NotInLaborForce,0,10400,ELEMENTARY EDUCATION
31,Male,50000,Employed,50000,50000,MUSIC
54,Female,100000,Employed,100000,100000,NURSING
