"ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"187A00B12EB155C7","classic_bike","2021-08-13 10:09:04","2021-08-13 11:05:26","Little West St & 1 Pl","5001.08","Riverside Blvd & W 67 St","7183.03","40.70569254","-74.01677685","40.777507027547976","-73.98888587951659","member"
"842741FA42F9D3CA","classic_bike","2021-08-25 18:55:21","2021-08-25 19:03:58","Lafayette St & Jersey St","5561.06","6 Ave & Broome St","5610.09","40.72456089","-73.99565293","40.72431","-74.00473","member"
"D4B9559983754E8F","classic_bike","2021-08-08 13:20:08","2021-08-08 13:37:30","W 22 St & 8 Ave","6224.03","Carmine St & 6 Ave","5763.03","40.74475148","-73.99915362","40.73038599","-74.00214988","casual"
"7726CDDA62B843BE","classic_bike","2021-08-03 18:18:34","2021-08-03 18:22:43","E 118 St & 1 Ave","7596.10","E 118 St & 1 Ave","7596.10","40.79747","-73.93504","40.79747","-73.93504","member"
"40B0A3A27CC5DCCD","classic_bike","2021-08-28 10:57:44","2021-08-28 11:11:43","45 St & 4 Ave","3275.03","12 St & 4 Ave","3882.01","40.649145","-74.009486","40.668603","-73.9904394","member"
"180C7307A55EBE9B","classic_bike","2021-08-17 12:15:30","2021-08-17 12:20:56","E 33 St & 1 Ave","6197.08","E 39 St & 2 Ave","6345.08","40.74322681432173","-73.97449783980846","40.748033194287665","-73.973827958107","member"
"C1FE0431E192CF20","classic_bike","2021-08-18 11:40:15","2021-08-18 11:45:53","Cooper Square & Astor Pl","5712.03","E 17 St & Broadway","5980.07","40.72951496224949","-73.99075269699097","40.73704984","-73.99009296","member"
"196239367E4D8264","classic_bike","2021-08-06 22:48:40","2021-08-06 22:54:14","W 87 St & Amsterdam Ave","7458.03","W 87 St & Amsterdam Ave","7458.03","40.78839","-73.9747","40.78839","-73.9747","member"
"26BD6AA336C39500","classic_bike","2021-08-05 17:42:38","2021-08-05 17:52:07","Broadway & W 38 St","6560.15","W 26 St & 10 Ave","6382.05","40.7529728216068","-73.98734897375107","40.749717753","-74.002950346","member"
"D3E733CFE82F6B16","docked_bike","2021-08-18 17:57:16","2021-08-18 18:25:03","W 67 St & Broadway","7116.04","W 30 St & 10 Ave","6459.07","40.774925","-73.982666","40.752694","-74.002353","casual"
"FE79AA9CAA4FD686","classic_bike","2021-08-28 21:16:58","2021-08-28 21:48:09","Broadway & Kosciuszko St","4608.01","E 11 St & 1 Ave","5746.14","40.69329","-73.92852","40.72953837","-73.98426726","casual"
"F8146F7BB7E12A70","classic_bike","2021-08-09 10:48:47","2021-08-09 10:51:47","W 180 St & Ft Washington Ave","8358.03","W 169 St & Fort Washington Ave","8282.13","40.849972","-73.938423","40.8428422","-73.9421253","member"
"6C51FC3EBA4D5B78","classic_bike","2021-08-11 09:34:25","2021-08-11 09:51:29","W 25 St & 6 Ave","6215.04","Broadway & W 51 St","6779.04","40.74395411","-73.99144871","40.76228826","-73.98336183","member"
"D66951670A643A9B","classic_bike","2021-08-04 11:30:53","2021-08-04 11:46:14","E 4 St & 2 Ave","5593.04","E 6 St & Avenue B","5584.04","40.7262807","-73.98978041","40.72453734","-73.98185424","casual"
"7743833DFB73967E","classic_bike","2021-08-04 06:58:08","2021-08-04 07:44:50","35 St & 30 Ave","6887.03","34 St & 38 Ave","6453.02","40.76547569244953","-73.91811579465866","40.752443","-73.929737","member"
"AE49BA36982E3039","classic_bike","2021-08-13 18:38:20","2021-08-13 18:40:43","E 12 St & Ave C","5616.08","E 13 St & Avenue A","5779.09","40.727243","-73.976831","40.72966729392978","-73.98067966103554","casual"
"B60A25B1104B4946","classic_bike","2021-08-14 10:47:32","2021-08-14 11:30:35","Brook Ave & E 138 St","7707.08","Brook Ave & E 148 St","7816.14","40.807408","-73.91924","40.814383","-73.915368","member"
"2DC0646EAE9BF180","classic_bike","2021-08-06 21:39:06","2021-08-06 21:44:07","7 Ave & Central Park South","6912.01","W 59 St & 10 Ave","7023.04","40.7667405590595","-73.9790689945221","40.770513","-73.988038","member"
"C4A2A0FFE582635B","classic_bike","2021-08-03 06:48:11","2021-08-03 06:59:03","State St & Smith St","4565.06","Lefferts Pl & Franklin Ave","4222.02","40.68926942","-73.98912867","40.680342423","-73.9557689392","member"
"534CD5D29D0048AB","classic_bike","2021-08-20 09:02:44","2021-08-20 09:08:43","6 Ave & W 45 St","6593.15","E 58 St & Madison Ave","6839.04","40.756951","-73.982631","40.76302594280519","-73.97209525108337","member"
"DA0693DC22227B07","classic_bike","2021-08-28 21:06:32","2021-08-28 21:22:28","E 10 St & Avenue A","5659.05","Lafayette St & E 8 St","5788.13","40.72740794","-73.98142006","40.73020660529954","-73.99102628231049","casual"
"1EF76B0D7E79AF49","classic_bike","2021-08-31 08:48:52","2021-08-31 08:55:24","W 13 St & 7 Ave","6030.04","W 26 St & 10 Ave","6382.05","40.73781509","-73.99994661","40.749717753","-74.002950346","member"
"C62923F112ABF32A","classic_bike","2021-08-09 09:35:07","2021-08-09 09:46:16","Franklin Ave & Myrtle Ave","4715.01","Lincoln Pl & Classon Ave","3960.01","40.694546087246025","-73.95801365375519","40.6721683","-73.9609","casual"
"8F38F71449C35312","classic_bike","2021-08-20 20:17:23","2021-08-20 20:21:03","Greenwich Ave & 8 Ave","6072.06","W 20 St & 7 Ave","6182.02","40.7390169121","-74.0026376103","40.74238787","-73.99726235","casual"
"1A7AD22DFFEF2624","classic_bike","2021-08-01 03:37:21","2021-08-01 03:44:34","Franklin St & Dupont St","5944.01","Greenpoint Ave & Manhattan Ave","5785.05","40.73564","-73.95866","40.73026","-73.95394","member"
"EFED48CE352FA72E","classic_bike","2021-08-31 00:26:43","2021-08-31 00:31:37","W 15 St & 6 Ave","5989.02","E 20 St & Park Ave","6055.08","40.738046142482766","-73.99642959237099","40.73827428","-73.98751968","casual"
"5CCA7361D99B0756","classic_bike","2021-08-25 08:51:28","2021-08-25 09:02:11","E 102 St & Park Ave","7488.24","E 115 St & Madison Ave","7599.02","40.7904828","-73.95033068","40.7989445","-73.944846","casual"
"471CA192EDB857EC","classic_bike","2021-08-05 12:59:40","2021-08-05 13:10:42","Sands St Gate","4812.04","Kent Ave & S 11 St","5062.01","40.699569","-73.979827","40.707644944175705","-73.96841526031494","member"
"68B87AC6BB7B6B1E","classic_bike","2021-08-27 21:24:03","2021-08-27 21:25:11","4 Ave & 17 St","3739.06","4 Ave & 17 St","3739.06","40.665507","-73.993037","40.665507","-73.993037","member"
"374098AAFD579740","classic_bike","2021-08-31 18:05:14","2021-08-31 18:31:24","Hope St & Union Ave","5187.03","Franklin Ave & St Marks Ave","4107.05","40.71167351","-73.95141312","40.6758324","-73.9561677","casual"
